`id_pnts`,`id_sps`,`exam_priority`,`subject`,`points`
1,1,1,Биология,65
2,1,2,Математика,58
3,1,3,"Русский язык",69
4,2,1,Биология,51
5,2,2,Химия,44
6,2,3,"Русский язык",63
7,3,1,Биология,70
8,3,2,Химия,51
9,3,3,"Русский язык",72
10,3,4,"Индивидуальное достижение",5
11,6,1,Биология,45
12,6,2,Химия,42
13,6,3,"Русский язык",55
14,7,1,Биология,63
15,7,2,Химия,51
16,7,3,"Русский язык",67
17,8,1,Математика,74
18,8,2,Обществознание,71
19,8,3,"Русский язык",89
20,8,4,"Индивидуальное достижение",5
21,9,1,Математика,78
22,9,2,Обществознание,0
23,9,3,"Русский язык",70
24,10,1,Математика,86
25,10,2,"Информатика и ИКТ",80
26,10,3,"Русский язык",91
27,10,4,"Индивидуальное достижение",5
28,11,1,Математика,80
29,11,2,Обществознание,64
30,11,3,"Русский язык",73
31,11,4,"Индивидуальное достижение",5
32,12,1,Математика,40
33,12,3,"Русский язык",72
34,14,1,Математика,70
35,14,2,Обществознание,62
36,14,3,"Русский язык",70
37,15,1,Математика,58
38,15,2,Обществознание,55
39,15,3,"Русский язык",67
40,16,1,Математика,40
41,16,2,"Информатика и ИКТ",48
42,17,1,Математика,0
43,17,2,Обществознание,0
44,17,3,"Русский язык",51
45,19,1,Математика,94
46,19,2,"Информатика и ИКТ",85
47,19,3,"Русский язык",81
48,20,1,Математика,64
49,20,2,Обществознание,64
50,20,3,"Русский язык",69
51,21,1,Математика,52
52,21,2,Обществознание,73
53,21,3,"Русский язык",57
54,22,1,Математика,64
55,22,2,Физика,54
56,22,3,"Русский язык",52
57,50,1,География,46
58,50,3,"Русский язык",66
59,51,1,География,54
60,51,2,Математика,46
61,51,3,"Русский язык",55
62,52,2,Биология,74
63,52,3,"Русский язык",66
64,58,2,Обществознание,83
65,58,3,"Русский язык",81
66,58,4,"Индивидуальное достижение",5
67,59,2,Обществознание,59
68,59,3,"Русский язык",57
69,60,2,Литература,78
70,60,3,"Русский язык",70
71,60,4,"Индивидуальное достижение",5
72,61,2,Литература,53
73,61,3,"Русский язык",64
74,62,1,Математика,72
75,62,2,Физика,74
76,62,3,"Русский язык",81
77,63,3,"Русский язык",67
78,64,2,Физика,59
79,64,3,"Русский язык",60
80,65,1,Математика,58
81,65,2,Физика,61
82,65,3,"Русский язык",60
83,66,1,Математика,46
84,66,2,Физика,43
85,66,3,"Русский язык",67
86,67,1,Математика,40
87,67,3,"Русский язык",51
88,68,1,Математика,76
89,68,2,"Информатика и ИКТ",51
90,68,3,"Русский язык",49
91,70,1,Математика,64
92,70,2,Физика,67
93,70,3,"Русский язык",54
94,71,1,Математика,74
95,71,2,"Информатика и ИКТ",54
96,71,3,"Русский язык",57
97,73,1,Математика,58
98,73,2,"Информатика и ИКТ",59
99,73,3,"Русский язык",57
100,74,1,Математика,64
101,74,2,Физика,54
102,74,3,"Русский язык",52
103,76,1,Математика,52
104,76,3,"Русский язык",66
105,77,3,"Русский язык",51
106,81,2,"Индивидуальное достижение",3
107,83,1,Математика,74
108,83,2,Физика,61
109,83,3,"Русский язык",70
110,83,4,"Индивидуальное достижение",5
111,84,1,Математика,58
112,84,2,Физика,53
113,84,3,"Русский язык",60
114,85,1,Математика,40
115,85,3,"Русский язык",51
116,86,1,Математика,58
117,86,2,Физика,61
118,86,3,"Русский язык",48
119,87,1,Математика,74
120,87,2,"Информатика и ИКТ",54
121,87,3,"Русский язык",57
122,89,3,"Русский язык",66
123,90,1,Математика,52
124,90,3,"Русский язык",66
125,91,3,"Русский язык",51
126,92,1,Математика,70
127,92,2,"Информатика и ИКТ",46
128,92,3,"Русский язык",63
129,93,1,Математика,40
130,93,2,Физика,49
131,93,3,"Русский язык",61
132,95,1,Математика,40
133,95,2,"Информатика и ИКТ",0
134,95,3,"Русский язык",48
135,96,2,Литература,89
136,97,2,Литература,60
137,97,3,"Русский язык",73
138,98,2,"Английский язык",71
139,98,3,"Русский язык",69
140,98,4,"Индивидуальное достижение",5
141,99,2,"Английский язык",0
142,99,3,"Русский язык",60
143,100,2,Обществознание,63
144,100,3,"Русский язык",60
145,101,2,Обществознание,68
