`id_grp`,`id_dep`,`dir_code`,`dir_title`,`dir_level`,`title`,`form`,`plan`,`cell`,`podano_budget`,`podano_vnebudget`,`nabor`,`podano`
1173,3,06.03.01,Биология,3,"Бюджет/Общие места",0,37,0,198,0,37,198
1174,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,5,0,44,0,5,44
1175,5,05.03.02,География,3,"Бюджет/Общие места",0,10,0,46,0,10,46
1176,5,05.03.03,"Картография и геоинформатика",3,"Бюджет/Общие места",0,9,0,42,0,9,42
1177,5,05.03.05,"Прикладная гидрометеорология",3,"Бюджет/Общие места",0,6,0,32,0,6,32
1178,5,05.03.06,"Экология и природопользование",3,"Бюджет/Общие места",0,9,0,34,0,9,34
1179,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,7,0,22,0,7,22
1180,6,05.03.01,Геология,3,"Бюджет/Общие места",0,24,0,60,0,24,60
1181,6,21.05.02,"Прикладная геология",5,"Бюджет/Общие места",2,12,0,18,0,12,18
1182,6,21.05.02,"Прикладная геология",5,"Бюджет/Общие места",0,16,0,38,0,16,38
1183,1,01.03.02,"Прикладная математика и информатика",3,"Бюджет/Общие места",0,30,0,147,0,30,147
1184,1,01.03.03,"Механика и математическое моделирование",3,"Бюджет/Общие места",0,7,0,60,0,7,60
1185,1,02.03.01,"Математика и компьютерные науки",3,"Бюджет/Общие места",0,19,0,120,0,19,120
1186,1,09.03.03,"Прикладная информатика",3,"Бюджет/Общие места",0,22,0,179,0,22,179
1187,20,44.03.02,"Психолого-педагогическое образование",3,"Бюджет/Общие места",0,6,0,34,0,6,34
1188,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,8,0,20,0,8,20
1189,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,8,0,28,0,8,28
1190,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,5,0,18,0,5,18
1191,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,6,0,7,0,6,7
1192,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,6,0,10,0,6,10
1193,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,5,0,18,0,5,18
1194,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",0,6,0,13,0,6,13
1195,20,44.03.02,"Психолого-педагогическое образование",3,"Бюджет/Общие места",2,8,0,42,0,8,42
1196,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",2,6,0,14,0,6,14
1197,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",2,6,0,31,0,6,31
1198,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",2,5,0,17,0,5,17
1199,20,44.03.03,"Специальное (дефектологическое) образование",3,"Бюджет/Общие места",2,5,0,36,0,5,36
1200,20,"44.03.05 ","Педагогическое образование (с двумя профилями подготовки)",3,"Бюджет/Общие места",2,5,0,6,0,5,6
1201,14,50.03.03,"История искусств",3,"Бюджет/Общие места",1,8,0,27,0,8,27
1202,14,53.03.01,"Музыкальное искусство эстрады",3,"Бюджет/Общие места",0,0,0,7,0,0,7
1203,1,09.03.03,"Прикладная информатика",3,"Бюджет/Общие места",2,8,0,18,0,8,18
1204,1,38.03.05,Бизнес-информатика,3,"Бюджет/Общие места",0,14,0,181,0,14,181
1205,14,51.03.02,"Народная художественная культура",3,"Бюджет/Общие места",0,1,0,14,0,1,14
1206,14,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,8,0,18,0,8,18
1207,14,51.03.02,"Народная художественная культура",3,"Бюджет/Общие места",2,4,0,26,0,4,26
1208,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,11,0,61,0,11,61
1209,14,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,6,0,21,0,6,21
1210,4,03.03.01,"Прикладные математика и физика",3,"Бюджет/Общие места",0,7,0,47,0,7,47
1211,4,03.03.02,Физика,3,"Бюджет/Общие места",0,5,0,34,0,5,34
1212,4,03.03.03,Радиофизика,3,"Бюджет/Общие места",0,4,0,53,0,4,53
1213,4,09.03.02,"Информационные системы и технологии",3,"Бюджет/Общие места",0,6,0,125,0,6,125
1214,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,1,0,31,0,1,31
1215,4,12.03.04,"Биотехнические системы и технологии",3,"Бюджет/Общие места",0,11,0,68,0,11,68
1216,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,15,0,92,0,15,92
1217,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,11,0,44,0,11,44
1218,4,22.03.01,"Материаловедение и технологии материалов",3,"Бюджет/Общие места",0,7,0,22,0,7,22
1219,8,45.03.03,"Фундаментальная и прикладная лингвистика",3,"Полное возмещение затрат",0,0,0,0,84,0,84
1220,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,6,0,17,0,6,17
1221,8,42.03.02,Журналистика,3,"Бюджет/Общие места",0,8,0,183,0,8,183
1222,8,42.03.02,Журналистика,3,"Бюджет/Общие места",2,7,0,91,0,7,91
1223,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,10,0,32,0,10,32
1224,8,45.03.01,Филология,3,"Бюджет/Общие места",0,2,0,20,0,2,20
1225,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,5,0,7,0,5,7
1226,8,45.03.01,Филология,3,"Бюджет/Общие места",0,15,0,60,0,15,60
1228,8,45.03.01,Филология,3,"Бюджет/Общие места",2,7,0,66,0,7,66
