`id_spec`,`id_grp`,`title`
1,1204,"Управление бизнес-процессами"
2,1322,"Управление бизнес-процессами"
3,1460,"Управление бизнес-процессами"
4,1588,"Управление бизнес-процессами"
5,1734,"Управление бизнес-процессами"
6,1870,"Управление бизнес-процессами"
7,2403,"Управление бизнес-процессами"
8,2425,Биофизика
9,2426,Биофизика
10,2427,Биофизика
11,2428,Биохимия
12,2429,Биохимия
13,2430,Биохимия
14,2431,"Физиология человека и животных"
15,2432,"Физиология человека и животных"
16,2433,"Физиология человека и животных"
17,2434,Ботаника
18,2435,Ботаника
19,2436,Ботаника
20,2033,"Общая биология"
21,2040,"Общая биология"
22,2042,"Структура и функционирование экосистем"
23,2044,"Структура и функционирование экосистем"
24,2047,"Структура и функционирование экосистем"
25,2050,"Современные технологии визуализации и анализа живых систем"
26,2054,"Современные технологии визуализации и анализа живых систем"
27,2087,"Аппаратные и программные средства биомедицины"
28,2179,"Аппаратные и программные средства биомедицины"
29,2321,"Аппаратные и программные средства биомедицины"
30,2056,"Ландшафтное планирование"
31,2058,"Ландшафтное планирование"
32,2070,"Геофизика при поисках нефтегазовых месторождений"
33,2072,"Геофизика при поисках нефтегазовых месторождений"
34,2117,"Системы управления средствами массовой информации и коммуникации "
35,2337,"Системы управления средствами массовой информации и коммуникации "
36,1233,"Управление инновациями в наукоемких технологиях"
37,1334,"Управление инновациями в наукоемких технологиях"
38,1477,"Управление инновациями в наукоемких технологиях"
39,1600,"Управление инновациями в наукоемких технологиях"
40,1750,"Управление инновациями в наукоемких технологиях"
41,1883,"Управление инновациями в наукоемких технологиях"
42,1300,"Инфокоммуникационные технологии в  системах радиосвязи"
43,1329,"Инфокоммуникационные технологии в  системах радиосвязи"
44,1471,"Инфокоммуникационные технологии в  системах радиосвязи"
45,1595,"Инфокоммуникационные технологии в  системах радиосвязи"
46,1745,"Инфокоммуникационные технологии в  системах радиосвязи"
47,1878,"Инфокоммуникационные технологии в  системах радиосвязи"
48,1293,"Вычислительные машины, комплексы, системы и сети"
49,1355,"Вычислительные машины, комплексы, системы и сети"
50,1496,"Вычислительные машины, комплексы, системы и сети"
51,1621,"Вычислительные машины, комплексы, системы и сети"
52,1791,"Вычислительные машины, комплексы, системы и сети"
53,1908,"Вычислительные машины, комплексы, системы и сети"
54,2402,"Вычислительные машины, комплексы, системы и сети"
55,2111,"Без профиля"
56,2195,"Без профиля"
57,2305,"Без профиля"
58,2093,"Искусственный интеллект, математическое моделирование и суперкомпьютерные технологии в разработке информационных систем"
59,2180,"Искусственный интеллект, математическое моделирование и суперкомпьютерные технологии в разработке информационных систем"
60,2318,"Искусственный интеллект, математическое моделирование и суперкомпьютерные технологии в разработке информационных систем"
61,2440,"Системный анализ, управление и обработка информации, статистика"
62,2477,"Системный анализ, управление и обработка информации, статистика"
63,2478,"Системный анализ, управление и обработка информации, статистика"
64,2450,"Отечественная история"
65,2451,"Отечественная история"
66,2452,"Отечественная история"
67,2453,"Всеобщая история"
68,2454,"Всеобщая история"
69,2455,"Всеобщая история"
70,1176,Геоинформатика
71,1308,Геоинформатика
72,1441,Геоинформатика
73,1576,Геоинформатика
74,1712,Геоинформатика
75,1857,Геоинформатика
76,1291,"Математические методы защиты информации"
77,1358,"Математические методы защиты информации"
78,1499,"Математические методы защиты информации"
79,1624,"Математические методы защиты информации"
80,1794,"Математические методы защиты информации"
81,1910,"Математические методы защиты информации"
82,2413,"Математические методы защиты информации"
83,2414,"Математические методы защиты информации"
84,2415,"Математические методы защиты информации"
85,1231,"Компьютерное моделирование и проектирование электронных средств"
86,1330,"Компьютерное моделирование и проектирование электронных средств"
87,1472,"Компьютерное моделирование и проектирование электронных средств"
88,1596,"Компьютерное моделирование и проектирование электронных средств"
89,1746,"Компьютерное моделирование и проектирование электронных средств"
90,1879,"Компьютерное моделирование и проектирование электронных средств"
91,2408,"Компьютерное моделирование и проектирование электронных средств"
92,2283,Этнокультурология
93,1185,"Математические основы компьютерных наук"
94,1317,"Математические основы компьютерных наук"
95,1453,"Математические основы компьютерных наук"
96,1585,"Математические основы компьютерных наук"
97,1729,"Математические основы компьютерных наук"
98,1868,"Математические основы компьютерных наук"
99,2094,"Математические основы компьютерных наук"
100,2095,"Математические основы компьютерных наук"
101,2096,"Математические основы компьютерных наук"
102,1294,"Большие данные и машинное обучение"
103,1354,"Большие данные и машинное обучение"
104,1495,"Большие данные и машинное обучение"
105,1620,"Большие данные и машинное обучение"
106,1788,"Большие данные и машинное обучение"
107,1907,"Большие данные и машинное обучение"
108,2396,"Большие данные и машинное обучение"
109,2397,"Большие данные и машинное обучение"
110,2108,"Технологии программирования"
111,2197,"Технологии программирования"
112,2304,"Технологии программирования"
113,1218,"Нанотехнологии, диагностика и синтез современных материалов"
114,1333,"Нанотехнологии, диагностика и синтез современных материалов"
115,1568,"Нанотехнологии, диагностика и синтез современных материалов"
116,1599,"Нанотехнологии, диагностика и синтез современных материалов"
117,1749,"Нанотехнологии, диагностика и синтез современных материалов"
118,1882,"Нанотехнологии, диагностика и синтез современных материалов"
119,2409,"Нанотехнологии, диагностика и синтез современных материалов"
120,2055,"Мировая политика"
121,2331,"Мировая политика"
122,1277,"Менеджмент организации"
123,1370,"Менеджмент организации"
124,1513,"Менеджмент организации"
125,1638,"Менеджмент организации"
126,1992,"Менеджмент организации"
127,1995,"Менеджмент организации"
128,2390,"Механика деформируемого твердого тела"
129,2391,"Механика деформируемого твердого тела"
130,1202,"Эстрадно-джазовое пение"
131,1419,"Эстрадно-джазовое пение"
132,1565,"Эстрадно-джазовое пение"
133,1687,"Эстрадно-джазовое пение"
134,1784,"Эстрадно-джазовое пение"
135,1939,"Эстрадно-джазовое пение"
136,1205,"Руководство хореографическим любительским коллективом"
137,1417,"Руководство хореографическим любительским коллективом"
138,1563,"Руководство хореографическим любительским коллективом"
139,1685,"Руководство хореографическим любительским коллективом"
140,1780,"Руководство хореографическим любительским коллективом"
141,1942,"Руководство хореографическим любительским коллективом"
142,1721,"Геолого-геофизический сервис"
143,1863,"Геолого-геофизический сервис"
