`id_grp`,`dep_title`,`dir_code`,`dir_title`,`dir_level`,`title`,`form`,`nabor`,`podano`,`all_exams`
1173,"Биологический факультет",06.03.01,Биология,3,"Бюджет/Общие места",0,37,198,"1:Биология с основами экологии / Биология;2:Общая химия / Математика / Элементарная математика / Химия;3:Русский язык;4:Индивидуальное достижение"
1174,"Педагогический институт \ Факультет физико-математических и естественно-научных дисциплин",44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,5,44,"1:Химия / Биология с основами экологии / Биология;2:Общая химия / Человек и общество / Обществознание;3:Русский язык;4:Индивидуальное достижение"
1175,"Географический факультет",05.03.02,География,3,"Бюджет/Общие места",0,10,46,"1:Землеведение / География;2:Биология / Элементарная математика / Математика;3:Русский язык;4:Индивидуальное достижение"
1176,"Географический факультет",05.03.03,"Картография и геоинформатика",3,"Бюджет/Общие места",0,9,42,"1:Землеведение / География;2:Биология / Элементарная математика / Математика;3:Русский язык;4:Индивидуальное достижение"
1177,"Географический факультет",05.03.05,"Прикладная гидрометеорология",3,"Бюджет/Общие места",0,6,32,"1:Землеведение / География;2:Биология / Элементарная математика / Математика;3:Русский язык;4:Индивидуальное достижение"
1178,"Географический факультет",05.03.06,"Экология и природопользование",3,"Бюджет/Общие места",0,9,34,"1:Землеведение / География;2:Биология / Элементарная математика / Математика;3:Русский язык;4:Индивидуальное достижение"
1179,"Педагогический институт \ Факультет физико-математических и естественно-научных дисциплин",44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,7,22,"1:География / Землеведение;2:Человек и общество / Биология / Элементарная математика / Обществознание;3:Русский язык;4:Индивидуальное достижение"
1180,"Геологический факультет",05.03.01,Геология,3,"Бюджет/Общие места",0,24,60,"1:Основы минералогии / Математика;2:Информатика и ИКТ / Основы алгоритмизации и программирование / Элементарная математика / Физика;3:Русский язык;4:Индивидуальное достижение"
1181,"Геологический факультет",21.05.02,"Прикладная геология",5,"Бюджет/Общие места",2,12,18,"1:Математика / Основы нефтегазовой геологии;2:Физика / Информатика и ИКТ / Основы алгоритмизации и программирование / Элементарная математика;3:Русский язык;4:Индивидуальное достижение"
1182,"Геологический факультет",21.05.02,"Прикладная геология",5,"Бюджет/Общие места",0,16,38,"1:Математика / Основы нефтегазовой геологии;2:Основы алгоритмизации и программирование / Элементарная математика / Физика / Информатика и ИКТ;3:Русский язык;4:Индивидуальное достижение"
